,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,runtime,M,N,K,GPU
0,128,16,128,4,4,0,0.19868800044059753,2048,2048,4,V100
1,64,32,16,8,1,2,0.023552000522613525,2048,2048,4,V100
2,256,16,256,8,8,0,inf,2048,2048,4,V100
3,16,64,32,1,16,0,0.1085439994931221,2048,2048,4,V100
4,16,128,32,16,4,3,0.01945599913597107,2048,2048,4,V100
5,128,64,16,16,4,1,0.018432000651955605,2048,2048,4,V100
6,16,32,32,8,8,3,0.09011200070381165,2048,2048,4,V100
7,16,32,16,8,4,0,0.03686400130391121,2048,2048,4,V100
8,64,16,256,4,2,3,5.724160194396973,2048,2048,4,V100
9,128,32,64,4,16,3,0.06860800087451935,2048,2048,4,V100
10,128,256,32,1,8,0,inf,2048,2048,4,V100
11,32,64,32,8,4,1,inf,2048,2048,4,V100
12,64,128,128,16,4,2,inf,2048,2048,4,V100
13,64,256,64,16,4,2,inf,2048,2048,4,V100
14,16,32,32,16,1,3,inf,2048,2048,4,V100
15,128,16,16,16,8,1,inf,2048,2048,4,V100
16,128,16,128,4,4,0,0.010208000428974628,256,2,64,V100
17,64,32,16,8,1,2,0.011264000087976456,256,2,64,V100
18,256,16,256,8,8,0,inf,256,2,64,V100
19,16,64,32,1,16,0,0.008191999979317188,256,2,64,V100
20,16,128,32,16,4,3,0.009216000325977802,256,2,64,V100
21,128,64,16,16,4,1,0.010239999741315842,256,2,64,V100
22,16,32,32,8,8,3,0.0071680000983178616,256,2,64,V100
23,16,32,16,8,4,0,0.0071680000983178616,256,2,64,V100
24,64,16,256,4,2,3,0.018432000651955605,256,2,64,V100
25,128,32,64,4,16,3,0.008191999979317188,256,2,64,V100
26,16,256,16,1,16,0,inf,256,2,64,V100
27,256,32,32,2,8,0,inf,256,2,64,V100
28,32,32,32,8,8,3,inf,256,2,64,V100
29,128,32,16,1,4,1,inf,256,2,64,V100
30,16,32,16,1,1,2,inf,256,2,64,V100
31,256,16,128,2,1,0,inf,256,2,64,V100
32,16,256,128,8,2,2,inf,256,2,64,V100
33,128,16,128,4,4,0,0.008191999979317188,64,4,32,V100
34,128,16,128,4,4,0,0.01945599913597107,512,1024,1,V100
35,128,16,128,4,4,0,5.946368217468262,16384,16384,1,V100
36,128,16,128,4,4,0,0.015359999611973763,512,1,512,V100
37,128,16,128,4,4,0,0.0071680000983178616,1,32,128,V100
38,128,16,128,4,4,0,0.24268800020217896,1,8,16384,V100
39,128,16,128,4,4,0,0.01228800043463707,2,32,512,V100
40,128,16,128,4,4,0,0.9482240080833435,16384,4096,128,V100
41,128,16,128,4,4,0,0.018432000651955605,8,2048,4,V100
